text,sentiment
ilginize teþekkür ederim. çok memnun kaldým.,positive
telefonla ulaþmak istediðimde ulaþabiliyorum. teþekkürler,positive
sýra beklemeden iþlemlerimi hallettim.,positive
veznedar hanýmefendi çok kibardý.,positive
kibar ve saygýlý görüþme saðladýk.,positive
herþey olumlu geçti.,positive
para çekmek hiç zor olmadý herkese tavsiye ederim.,positive
pratik kolay ve eðlenceli.,positive
kibar ilgili saygýlý daha ne diyeceðimi bilemiyorum. güzel bir deneyim.,positive
sizinle çalýþmaktan çok memnun kaldým.,positive
seviyeli çalýþanlarýnýz saðolsun iþlerimi çok kolayca hallettim.,positive
tavsiye ediyorum teþekkürler.,positive
teþekkür ederim.,positive
günün her saati ulaþabilmek çok güzel.,positive
telefonda beklemeden iletiþim kurabildik.,positive
mobil bankacýlýðýnýzdan çok memnun kaldýk.,positive
mobilde sadece þifre girerek pratik bi þekilde iþlemlerimi halledebiliyorum.,positive
istediðimi yapabiliyorum. engelsiz zahmetsiz. karmaþýk deðil.,positive
tekrardan ilginize teþekkür ediyorum.,positive
sizinle çalýþmak bir zevkti.,positive
size güvenim tam.,positive
eksiksiz ve güvenli bir deneyim oldu. herhangi bir sýkýntýyla karþýlaþmadýk.,positive
telefondaki beyefendi çok kibardý. teþekkür ederim.,positive
telefonlar açýlýyor sýkýntýsýz memnunuz.,positive
tekrar yolumun düþeceðinden eminim.,positive
bankacýlýklarýna güveniyorum.,positive
þubeye geldiðimde güler yüzlü çalýþanlarýnýz karþýladý.,positive
güler yüzü eksik etmeyin.,positive
çok muhteþem bir banka telefonda hiç beklemedim.,positive
sýra çok çabuk geldi güzel ilgilendiler.,positive
merve haným saðolsun muhteþem bir hizmet sundular.,positive
atmler çok iyi çalýþýyor.,positive
harika bir banka.,positive
fevkaladenin fevkinde çalýþanlar.,positive
allah razý olsun osman beyden .,positive
emeklilik hizmetleri gerçekten çok iyi.,positive
maaþýmý çok kýsa bir sürde çekebildim.,positive
yaþlýlara saygýlý davranýyorlar.,positive
hesap açma iþlemimi kýsa bir sürede yaptýrabildim çok memnun kaldým.,positive
müþteri hizmetleri sorunumu kýsa sürede çözdü çok teþekkür ederim.,positive
kredi kartýmý muhteþem bir hýzla eve gönderdiler.,positive
güvenimi sarsmayan bir banka .,positive
müþteri hizmetleri bir harika.,positive
bankalar arasýnda en iyisi.,positive
muazzam bir hizmet.,positive
